Référence Produit,Unités en stock,Déclencheur de commande,Email
AZE-123,134.0,5.0,XXXXXXXXX@gmail.com
RTY-123,145.0,5.0,XXXXXXXXX@gmail.com
UIO-123,189.0,5.0,XXXXXXXXX@gmail.com
KJH-123,1371.0,5.0,XXXXXXXXX@gmail.com
GFD-123,38.0,5.0,XXXXXXXXX@gmail.com
SQN-123,12.0,5.0,XXXXXXXXX@gmail.com
BVC-123,10.0,5.0,XXXXXXXXX@gmail.com
XWA-123,4917.0,5.0,XXXXXXXXX@gmail.com
ZER-123,1381.0,5.0,XXXXXXXXX@gmail.com
TYU-123,194.0,5.0,XXXXXXXXX@gmail.com
PML-123,9871.0,5.0,XXXXXXXXX@gmail.com
ABC-456,125.0,10.0,yyyyyyyyyyy@gmail.com
AZE-789,15.0,10.0,yyyyyyyyyyy@gmail.com
YTR-963,33.0,10.0,yyyyyyyyyyy@gmail.com
SDF-753,235.0,10.0,yyyyyyyyyyy@gmail.com
QWX-248,154.0,10.0,yyyyyyyyyyy@gmail.com
